variant,day,product,pnl
pure_inside_all50,4,SNACKPACK_VANILLA,2102
pure_inside_all50,4,TRANSLATOR_ASTRO_BLACK,7680
pure_inside_all50,4,TRANSLATOR_ECLIPSE_CHARCOAL,7468
pure_inside_all50,4,TRANSLATOR_GRAPHITE_MIST,4204
pure_inside_all50,4,TRANSLATOR_SPACE_GRAY,-14824
pure_inside_all50,4,TRANSLATOR_VOID_BLUE,10529
pure_inside_all50,4,UV_VISOR_AMBER,11048
pure_inside_all50,4,UV_VISOR_MAGENTA,-2902
pure_inside_all50,4,UV_VISOR_ORANGE,9194
pure_inside_all50,4,UV_VISOR_RED,110
pure_inside_all50,4,UV_VISOR_YELLOW,854
pure_touch_all50,2,GALAXY_SOUNDS_BLACK_HOLES,-5885
pure_touch_all50,2,GALAXY_SOUNDS_DARK_MATTER,2303
pure_touch_all50,2,GALAXY_SOUNDS_PLANETARY_RINGS,23700
pure_touch_all50,2,GALAXY_SOUNDS_SOLAR_FLAMES,-8348
pure_touch_all50,2,GALAXY_SOUNDS_SOLAR_WINDS,-8929
pure_touch_all50,2,MICROCHIP_CIRCLE,523
pure_touch_all50,2,MICROCHIP_OVAL,4939
pure_touch_all50,2,MICROCHIP_RECTANGLE,13038
pure_touch_all50,2,MICROCHIP_SQUARE,1776
pure_touch_all50,2,MICROCHIP_TRIANGLE,5262
pure_touch_all50,2,OXYGEN_SHAKE_CHOCOLATE,9314
pure_touch_all50,2,OXYGEN_SHAKE_EVENING_BREATH,2117
pure_touch_all50,2,OXYGEN_SHAKE_GARLIC,-1803
pure_touch_all50,2,OXYGEN_SHAKE_MINT,-1878
pure_touch_all50,2,OXYGEN_SHAKE_MORNING_BREATH,4125
pure_touch_all50,2,PANEL_1X2,-9147
pure_touch_all50,2,PANEL_1X4,16825
pure_touch_all50,2,PANEL_2X2,7392
pure_touch_all50,2,PANEL_2X4,1449
pure_touch_all50,2,PANEL_4X4,-5716
pure_touch_all50,2,PEBBLES_L,-5089
pure_touch_all50,2,PEBBLES_M,4885
pure_touch_all50,2,PEBBLES_S,20129
pure_touch_all50,2,PEBBLES_XL,-38
pure_touch_all50,2,PEBBLES_XS,90
pure_touch_all50,2,ROBOT_DISHES,8067
pure_touch_all50,2,ROBOT_IRONING,14509
