group,target,test_day,center_mode,threshold,horizon,pnl,trades,wins,avg_hold,sigma_train
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,2.0,200,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,2.0,500,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,2.5,50,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,2.5,100,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,2.5,200,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,2.5,500,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,3.0,50,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,3.0,100,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,3.0,200,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling200,3.0,500,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,1.5,50,3870.0,6,5,50.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,1.5,100,3560.0,4,3,100.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,1.5,200,8600.0,4,4,200.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,1.5,500,10780.0,4,4,500.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,2.0,50,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,2.0,100,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,2.0,200,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,2.0,500,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,2.5,50,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,2.5,100,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,2.5,200,0.0,0,0,0.0,329.87456719626493
SLEEP_POD,SLEEP_POD_POLYESTER,4,rolling500,2.5,500,0.0,0,0,0.0,329.87456719626493
