case,kind,product_under_test,day,product,pnl
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,TRANSLATOR_GRAPHITE_MIST,18999
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,TRANSLATOR_SPACE_GRAY,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,TRANSLATOR_VOID_BLUE,5676
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,UV_VISOR_AMBER,11519
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,UV_VISOR_MAGENTA,5665
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,UV_VISOR_ORANGE,9666
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,UV_VISOR_RED,580
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,UV_VISOR_YELLOW,5360
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,GALAXY_SOUNDS_BLACK_HOLES,-5885
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,GALAXY_SOUNDS_DARK_MATTER,5538
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,GALAXY_SOUNDS_PLANETARY_RINGS,-10556
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,GALAXY_SOUNDS_SOLAR_FLAMES,18066
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,GALAXY_SOUNDS_SOLAR_WINDS,965
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,MICROCHIP_CIRCLE,523
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,MICROCHIP_OVAL,4939
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,MICROCHIP_RECTANGLE,16141
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,MICROCHIP_SQUARE,1776
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,MICROCHIP_TRIANGLE,5262
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,OXYGEN_SHAKE_CHOCOLATE,9314
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,OXYGEN_SHAKE_EVENING_BREATH,2117
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,OXYGEN_SHAKE_GARLIC,-1803
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,OXYGEN_SHAKE_MINT,0
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,OXYGEN_SHAKE_MORNING_BREATH,4125
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,PANEL_1X2,0
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,2,PANEL_1X4,16825
