feature_col,importance,source_product,feature
GALAXY_SOUNDS_BLACK_HOLES__micro_minus_mid,12.239193,GALAXY_SOUNDS_BLACK_HOLES,micro_minus_mid
PANEL_2X2__imbalance1,12.238053,PANEL_2X2,imbalance1
GALAXY_SOUNDS_SOLAR_WINDS__spread,12.227593,GALAXY_SOUNDS_SOLAR_WINDS,spread
UV_VISOR_RED__spread,12.226985,UV_VISOR_RED,spread
PEBBLES_L__imbalance3,12.22247,PEBBLES_L,imbalance3
OXYGEN_SHAKE_EVENING_BREATH__micro_minus_mid,12.219229,OXYGEN_SHAKE_EVENING_BREATH,micro_minus_mid
PEBBLES_XL__imbalance3,12.202219,PEBBLES_XL,imbalance3
OXYGEN_SHAKE_GARLIC__group_residual_z,12.201731,OXYGEN_SHAKE_GARLIC,group_residual_z
UV_VISOR_YELLOW__imbalance3,12.201437,UV_VISOR_YELLOW,imbalance3
SLEEP_POD_LAMB_WOOL__group_residual_z,12.19806,SLEEP_POD_LAMB_WOOL,group_residual_z
SNACKPACK_STRAWBERRY__spread,12.195184,SNACKPACK_STRAWBERRY,spread
SLEEP_POD_SUEDE__group_mid_rank,12.186741,SLEEP_POD_SUEDE,group_mid_rank
UV_VISOR_AMBER__ret50,12.154064,UV_VISOR_AMBER,ret50
PEBBLES_L__spread,12.148203,PEBBLES_L,spread
GALAXY_SOUNDS_BLACK_HOLES__imbalance3,12.147961,GALAXY_SOUNDS_BLACK_HOLES,imbalance3
OXYGEN_SHAKE_EVENING_BREATH__spread,12.134162,OXYGEN_SHAKE_EVENING_BREATH,spread
TRANSLATOR_ASTRO_BLACK__spread,12.1147585,TRANSLATOR_ASTRO_BLACK,spread
GALAXY_SOUNDS_SOLAR_FLAMES__imbalance1,12.111318,GALAXY_SOUNDS_SOLAR_FLAMES,imbalance1
PANEL_2X2__spread,12.110779,PANEL_2X2,spread
GALAXY_SOUNDS_SOLAR_FLAMES__ret50,12.108073,GALAXY_SOUNDS_SOLAR_FLAMES,ret50
MICROCHIP_OVAL__imbalance3,12.098091,MICROCHIP_OVAL,imbalance3
SLEEP_POD_LAMB_WOOL__micro_minus_mid,12.097111,SLEEP_POD_LAMB_WOOL,micro_minus_mid
