split,product,group,side,horizon,corr,top5_count,top5_edge,top5_win,top5_pred,all_edge,rank_score
d2_to_d3,ROBOT_VACUUMING,ROBOT,short,1000,0.5121484031122581,41,343.56097412109375,0.8536585365853658,-19.577308654785156,107.85198211669922,293.28375839605565
d2_to_d3,PEBBLES_S,PEBBLES,short,1000,0.25655371585332476,41,362.6585388183594,0.8048780487804879,324.8929138183594,17.82671546936035,291.8958970977039
d2_to_d3,MICROCHIP_TRIANGLE,MICROCHIP,short,1000,0.39199409143858943,41,336.3902587890625,0.8048780487804879,62.171226501464844,64.75210571289062,270.753135122904
d2_to_d3,MICROCHIP_OVAL,MICROCHIP,short,1000,0.3325575369807677,41,312.1219482421875,0.8292682926829268,177.1381072998047,148.38267517089844,258.8328351276677
d2_to_d3,SLEEP_POD_POLYESTER,SLEEP,long,1000,0.1272802652219676,41,320.56097412109375,0.8048780487804879,323.1888732910156,121.61251831054688,258.0124913657584
d2_to_d3,SLEEP_POD_SUEDE,SLEEP,long,500,0.4154581346254367,41,293.68292236328125,0.8780487804878049,71.56197357177734,36.43080520629883,257.8679318311738
d2_to_d3,MICROCHIP_SQUARE,MICROCHIP,long,200,0.3520024110941891,41,298.31707763671875,0.8292682926829268,69.38871002197266,56.445247650146484,247.38489364996187
d2_to_d3,MICROCHIP_TRIANGLE,MICROCHIP,short,500,0.3101598768903993,41,270.8292541503906,0.9024390243902439,34.81927490234375,43.648616790771484,244.40688789181593
d2_to_d3,GALAXY_SOUNDS_DARK_MATTER,GALAXY,long,1000,0.18123252337835158,41,282.2682800292969,0.8536585365853658,91.0948715209961,49.19976043701172,240.96072685427782
d2_to_d3,PEBBLES_XL,PEBBLES,short,500,0.15474472233269415,41,317.7073059082031,0.7560975609756098,-79.54271697998047,45.821903228759766,240.21771910132432
d2_to_d3,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY,short,1000,0.2429706002593614,41,349.8780517578125,0.6829268292682927,9.478324890136719,33.442840576171875,238.9411085175305
d2_to_d3,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,long,1000,0.376647424797431,41,241.60975646972656,0.975609756097561,250.5859832763672,-69.17208099365234,235.71683558022104
d2_to_d3,PEBBLES_M,PEBBLES,long,500,0.16376444750741664,41,267.7317199707031,0.8536585365853658,47.99425506591797,87.93862915039062,228.55146826767339
d2_to_d3,PANEL_1X4,PANEL,long,1000,0.42298351692365804,41,263.07318115234375,0.8536585365853658,342.82220458984375,-201.52587890625,224.5746668373666
d2_to_d3,UV_VISOR_YELLOW,UV,long,1000,0.25893389859411803,41,272.3658447265625,0.8048780487804879,232.45570373535156,30.933815002441406,219.22128965796495
d2_to_d3,UV_VISOR_RED,UV,long,1000,0.42689962915872953,41,218.243896484375,1.0,166.26644897460938,45.78459548950195,218.243896484375
d2_to_d3,UV_VISOR_YELLOW,UV,long,500,0.2103389445217578,41,232.1707305908203,0.926829268292683,125.68791961669922,3.7689530849456787,215.18262835246762
d2_to_d3,MICROCHIP_SQUARE,MICROCHIP,short,500,0.4970782810617976,41,352.6585388183594,0.6097560975609756,69.67604064941406,-171.99278259277344,215.03569440143863
d2_to_d3,UV_VISOR_MAGENTA,UV,long,1000,0.2954680209927979,41,208.46340942382812,1.0,296.1490173339844,-5.6726837158203125,208.46340942382812
d2_to_d3,ROBOT_DISHES,ROBOT,short,1000,0.4884069650531394,41,267.2195129394531,0.7560975609756098,61.795677185058594,14.880866050720215,202.0440219786109
d2_to_d3,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,long,1000,0.45963036393490303,41,236.02438354492188,0.8536585365853658,1.531355381011963,115.8628158569336,201.48422985542112
d2_to_d3,ROBOT_DISHES,ROBOT,long,1000,0.48341027955145044,41,249.36585998535156,0.8048780487804879,124.88018035888672,-28.04332160949707,200.7091068174781
d2_to_d3,GALAXY_SOUNDS_DARK_MATTER,GALAXY,long,500,0.23121151784712848,41,247.31707763671875,0.8048780487804879,51.37997055053711,19.21660614013672,199.0600868783346
d2_to_d3,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN,short,500,0.1915002149537553,41,247.09756469726562,0.8048780487804879,-20.980592727661133,65.0746078491211,198.88340573194552
d2_to_d3,MICROCHIP_OVAL,MICROCHIP,short,500,0.2505813183033228,41,252.7073211669922,0.7804878048780488,105.11224365234375,83.55355072021484,197.2349823742378
d2_to_d3,TRANSLATOR_VOID_BLUE,TRANSLATOR,short,1000,0.4618191579650365,41,295.8292541503906,0.6585365853658537,-34.79490661621094,30.5427188873291,194.81438687952553
d2_to_d3,MICROCHIP_SQUARE,MICROCHIP,short,200,0.3392595091353218,41,232.756103515625,0.8292682926829268,33.10375213623047,-80.87484741210938,193.0172565739329
d2_to_d3,PEBBLES_XS,PEBBLES,long,500,0.2690258710671639,41,218.68292236328125,0.8780487804878049,86.29035949707031,-70.00601959228516,192.0142732945884
d2_to_d3,UV_VISOR_AMBER,UV,short,500,0.44033612235109054,41,206.243896484375,0.9024390243902439,116.94855499267578,29.442840576171875,186.12254072980184
d2_to_d3,OXYGEN_SHAKE_GARLIC,OXYGEN,long,1000,0.20042273054508253,41,201.85365295410156,0.9024390243902439,527.6322631835938,3.138387441635132,182.1606136415063
