product,group,path_type,threshold,exit_band,train_days,test_day,pnl,trades,end_pos
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,80,20.0,2+4,3,6693.0,216,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,80,20.0,2+3,4,1122.0,290,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,120,30.0,3+4,2,749.0,154,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,120,30.0,2+4,3,4918.0,128,0
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,120,30.0,2+3,4,912.0,210,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,160,40.0,3+4,2,516.0,110,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,160,40.0,2+4,3,6954.0,140,0
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,160,40.0,2+3,4,-1117.0,142,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,200,50.0,3+4,2,626.0,90,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,200,50.0,2+4,3,6379.0,102,0
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,200,50.0,2+3,4,-1230.0,116,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,300,75.0,3+4,2,-1311.0,50,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,300,75.0,2+4,3,2982.0,42,0
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,300,75.0,2+3,4,-2348.0,70,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,group_offset,20,20.0,3+4,2,2947.0,622,-10
